person,site,n_pc,pre_crastinate,prop_hard,targ_side_rel,median_rt,accuracy
44,Aberdeen,6,yes,0.7229300385109114,absent,8.745000000000001,0.9166666666666666
44,Aberdeen,6,yes,0.7229300385109114,easy,1.04,1
44,Aberdeen,6,yes,0.7229300385109114,hard,8.2325,0.16666666666666666
45,Aberdeen,6,yes,0.4209438131313131,absent,17.66,0.9583333333333334
45,Aberdeen,6,yes,0.4209438131313131,easy,1.3170000000000002,1
45,Aberdeen,6,yes,0.4209438131313131,hard,15.620000000000001,0.5416666666666666
46,Aberdeen,6,yes,0.836838911922338,absent,13.026,0.7708333333333334
46,Aberdeen,6,yes,0.836838911922338,easy,1.6235,1
46,Aberdeen,6,yes,0.836838911922338,hard,10.620000000000001,0.4166666666666667
103,Aberdeen,0,no,0.7078395277599684,absent,3.873,0.9166666666666666
103,Aberdeen,0,no,0.7078395277599684,easy,1.246,0.9130434782608695
103,Aberdeen,0,no,0.7078395277599684,hard,3.589,0.20833333333333334
104,Aberdeen,0,no,0.5720081453634085,absent,5.6225000000000005,0.875
104,Aberdeen,0,no,0.5720081453634085,easy,1.494,0.9166666666666666
104,Aberdeen,0,no,0.5720081453634085,hard,4.6145,0.3333333333333333
105,Aberdeen,1,no,0.2761904761904762,absent,12.799,0.9782608695652174
105,Aberdeen,1,no,0.2761904761904762,easy,1.063,0.9565217391304348
105,Aberdeen,1,no,0.2761904761904762,hard,12.1745,0.16666666666666666
107,Aberdeen,6,yes,0.28979328598231036,absent,36.021,0.9361702127659575
107,Aberdeen,6,yes,0.28979328598231036,easy,1.375,1
107,Aberdeen,6,yes,0.28979328598231036,hard,24.525,0.782608695652174
109,Aberdeen,6,yes,0.820925176188334,absent,9.1835,0.875
109,Aberdeen,6,yes,0.820925176188334,easy,1.2189999999999999,1
109,Aberdeen,6,yes,0.820925176188334,hard,8.055,0.13043478260869565
110,Aberdeen,1,no,0.256547619047619,absent,16.355,1
110,Aberdeen,1,no,0.256547619047619,easy,0.9115,1
110,Aberdeen,1,no,0.256547619047619,hard,14.8615,0.2916666666666667
111,Aberdeen,1,no,0.4176721224528076,absent,33.579,0.9791666666666666
