site,person,trial,targ_side_rel,accuracy,rt
Aberdeen,7,99,absent,1,5.774
Aberdeen,7,100,absent,0,2.033
Aberdeen,7,101,easy,1,0.647
Aberdeen,7,102,absent,0,2.211
Aberdeen,8,7,hard,0,23.485
Aberdeen,8,8,absent,1,11.591
Aberdeen,8,9,hard,1,5.562
Aberdeen,8,10,absent,1,20.494
Aberdeen,8,11,absent,0,22.732
Aberdeen,8,12,absent,0,24.375
Aberdeen,8,13,hard,1,9.899
Aberdeen,8,14,easy,1,11.785
Aberdeen,8,15,absent,1,19.754
Aberdeen,8,16,easy,0,28.984
Aberdeen,8,17,hard,1,14.245
Aberdeen,8,18,easy,1,11.219
Aberdeen,8,19,absent,0,12.393
Aberdeen,8,20,easy,0,24.578
Aberdeen,8,21,absent,0,5.451
Aberdeen,8,22,hard,1,6.515
Aberdeen,8,23,absent,0,6.865
Aberdeen,8,24,absent,1,17.326
Aberdeen,8,25,absent,1,21.223
Aberdeen,8,26,absent,1,14.689
Aberdeen,8,27,hard,1,7.008
Aberdeen,8,28,absent,0,6.607
Aberdeen,8,29,easy,1,3.307
Aberdeen,8,30,easy,1,3.992
Aberdeen,8,31,easy,1,4.353
Aberdeen,8,32,absent,1,6.315
Aberdeen,8,33,easy,1,2.347
Aberdeen,8,34,easy,1,4.062
Aberdeen,8,35,absent,0,4.818
Aberdeen,8,36,easy,0,11.532
Aberdeen,8,37,absent,0,2.517
Aberdeen,8,38,easy,1,2.114
Aberdeen,8,39,absent,0,2.516
Aberdeen,8,40,absent,0,3.253
Aberdeen,8,41,absent,0,6.356
Aberdeen,8,42,absent,0,4.292
Aberdeen,8,43,easy,0,1.501
Aberdeen,8,44,absent,0,7.352
Aberdeen,8,45,hard,1,6.859
Aberdeen,8,46,hard,1,9.246
Aberdeen,8,47,hard,1,11.926
Aberdeen,8,48,hard,1,9.325
Aberdeen,8,49,absent,0,13.168
Aberdeen,8,50,absent,0,6.026
Aberdeen,8,51,absent,0,4.565
Aberdeen,8,52,hard,0,14.707
Aberdeen,8,53,hard,1,2.619
Aberdeen,8,54,absent,0,5.699
Aberdeen,8,55,absent,0,4.917
Aberdeen,8,56,absent,0,2.405
Aberdeen,8,57,hard,1,4.724
Aberdeen,8,58,hard,1,3.168
Aberdeen,8,59,absent,1,12.639
Aberdeen,8,60,easy,0,10.422
Aberdeen,8,61,absent,0,4.217
Aberdeen,8,63,easy,0,15.022
Aberdeen,8,64,absent,0,10.991
Aberdeen,8,65,absent,1,14.064
Aberdeen,8,66,easy,0,14.151
Aberdeen,8,67,absent,1,5.867
Aberdeen,8,68,easy,0,11.954
Aberdeen,8,69,hard,0,14.391
Aberdeen,8,70,absent,0,2.544
Aberdeen,8,71,easy,0,15.523
Aberdeen,8,72,absent,0,9.282
Aberdeen,8,73,hard,1,7.713
Aberdeen,8,74,hard,1,5.277
Aberdeen,8,75,hard,1,2.352
Aberdeen,8,76,absent,1,12.589
Aberdeen,8,77,easy,1,15.885
Aberdeen,8,78,absent,1,16.503
Aberdeen,8,79,absent,1,18.355
Aberdeen,8,80,hard,1,6.872
Aberdeen,8,81,easy,1,10.725
Aberdeen,8,82,absent,0,9.673
Aberdeen,8,83,absent,1,18.859
Aberdeen,8,84,absent,1,22.43
Aberdeen,8,85,easy,1,5.303
Aberdeen,8,86,hard,1,11.107
Aberdeen,8,87,absent,1,20.095
Aberdeen,8,88,easy,1,2.656
Aberdeen,8,89,hard,1,7.031
Aberdeen,8,90,absent,1,20.792
Aberdeen,8,91,hard,1,8.094
Aberdeen,8,92,absent,1,15.164
Aberdeen,8,93,hard,0,11.936
Aberdeen,8,94,absent,0,15.229
Aberdeen,8,95,absent,1,16.017
Aberdeen,8,96,absent,1,13.886
Aberdeen,8,97,hard,0,10.675
Aberdeen,8,98,absent,0,9.451
Aberdeen,8,99,absent,1,7.175
Aberdeen,8,100,easy,1,1.577
Aberdeen,8,101,easy,1,1.359
Aberdeen,8,102,easy,1,1.877
Aberdeen,9,7,easy,1,1.45
Aberdeen,9,8,hard,1,2.907
Aberdeen,9,9,easy,1,1.388
Aberdeen,9,10,hard,0,14.159
Aberdeen,9,11,easy,1,28.374
Aberdeen,9,12,absent,1,31.359
Aberdeen,9,13,absent,1,37.771
Aberdeen,9,14,easy,1,4.32
Aberdeen,9,15,hard,0,21.997
Aberdeen,9,16,absent,1,27.096
Aberdeen,9,17,absent,1,23.938
Aberdeen,9,18,absent,1,17.754
Aberdeen,9,19,absent,1,16.355
Aberdeen,9,20,absent,1,21.425
Aberdeen,9,21,easy,1,4.041
Aberdeen,9,22,absent,1,18.556
Aberdeen,9,23,hard,0,14.15
Aberdeen,9,24,easy,1,2.503
Aberdeen,9,25,absent,1,20.432
Aberdeen,9,26,absent,1,14.481
Aberdeen,9,27,absent,1,13.656
Aberdeen,9,28,absent,1,10.872
Aberdeen,9,29,hard,1,13.958
Aberdeen,9,30,hard,0,11.278
Aberdeen,9,31,absent,1,14.7
Aberdeen,9,32,absent,1,17.759
Aberdeen,9,33,absent,1,14.005
Aberdeen,9,34,absent,1,15.509
Aberdeen,9,35,easy,1,1.207
Aberdeen,9,36,easy,1,0.933
Aberdeen,9,37,hard,1,5.892
Aberdeen,9,38,absent,1,14.768
Aberdeen,9,39,easy,1,1.081
Aberdeen,9,40,absent,1,12.446
Aberdeen,9,41,absent,1,18.482
Aberdeen,9,42,easy,1,1.194
Aberdeen,9,43,absent,1,12.187
Aberdeen,9,44,hard,0,9.313
Aberdeen,9,45,absent,1,19.458
Aberdeen,9,47,hard,0,14.59
Aberdeen,9,48,easy,1,0.806
Aberdeen,9,49,hard,1,21.098
Aberdeen,9,50,hard,0,19.641
Aberdeen,9,51,absent,1,20.925
Aberdeen,9,52,easy,1,1.025
Aberdeen,9,53,hard,0,21.868
Aberdeen,9,54,absent,1,20.999
Aberdeen,9,55,absent,1,11.531
Aberdeen,9,56,easy,1,1.711
Aberdeen,9,57,absent,1,12.511
Aberdeen,9,58,hard,0,17.811
Aberdeen,9,59,absent,1,21.767
Aberdeen,9,60,hard,0,20.854
Aberdeen,9,61,hard,0,27.778
Aberdeen,9,62,absent,1,29.134
Aberdeen,9,63,easy,1,0.905
Aberdeen,9,64,hard,1,7.573
Aberdeen,9,65,absent,1,20.135
Aberdeen,9,66,easy,1,0.868
Aberdeen,9,67,absent,1,20.541
Aberdeen,9,68,hard,1,2.411
Aberdeen,9,69,absent,1,13.947
Aberdeen,9,70,absent,1,10.845
Aberdeen,9,71,absent,1,14.013
Aberdeen,9,72,absent,1,14.243
Aberdeen,9,73,easy,1,0.903
Aberdeen,9,74,easy,1,0.792
Aberdeen,9,75,absent,1,20.74
Aberdeen,9,76,easy,1,1.083
Aberdeen,9,77,absent,1,10.302
Aberdeen,9,78,hard,0,8.257
Aberdeen,9,79,easy,1,0.84
Aberdeen,9,80,easy,1,0.724
Aberdeen,9,81,absent,1,15.096
Aberdeen,9,82,easy,1,0.715
Aberdeen,9,83,absent,1,8.609
Aberdeen,9,84,hard,0,6.06
Aberdeen,9,85,hard,0,10.378
Aberdeen,9,86,absent,1,15.824
Aberdeen,9,87,absent,1,9.166
Aberdeen,9,88,absent,1,11.907
Aberdeen,9,89,absent,1,6.554
Aberdeen,9,90,hard,0,11.092
Aberdeen,9,91,absent,1,10.703
Aberdeen,9,92,hard,1,3.264
Aberdeen,9,93,absent,1,11.241
Aberdeen,9,94,hard,1,3.54
Aberdeen,9,95,easy,1,1.542
Aberdeen,9,96,absent,1,13.846
Aberdeen,9,97,easy,1,0.817
Aberdeen,9,98,hard,1,2.618
Aberdeen,9,99,absent,1,6.962
Aberdeen,9,100,absent,1,5.531
Aberdeen,9,101,easy,1,0.676
Aberdeen,9,102,absent,1,5.797
Aberdeen,10,7,absent,1,11.621
Aberdeen,10,8,absent,1,6.614
Aberdeen,10,9,easy,1,1.698
Aberdeen,10,10,easy,1,4.528
Aberdeen,10,11,absent,1,6.247
Aberdeen,10,12,hard,0,6.236
Aberdeen,10,13,easy,1,1.958
Aberdeen,10,14,hard,1,10.99
Aberdeen,10,15,absent,0,3.653
Aberdeen,10,16,easy,1,5.015
Aberdeen,10,17,easy,1,1.744
Aberdeen,10,18,absent,1,9.739
Aberdeen,10,19,hard,0,9.196
Aberdeen,10,20,absent,0,5.07
Aberdeen,10,21,easy,1,4.037
Aberdeen,10,22,hard,0,10.864
Aberdeen,10,23,absent,0,3.833
Aberdeen,10,24,absent,0,3.94
Aberdeen,10,25,hard,1,2.09
Aberdeen,10,26,absent,0,2.113
Aberdeen,10,27,hard,1,3.676
Aberdeen,10,28,absent,0,2.745
Aberdeen,10,29,absent,0,3.234
Aberdeen,10,30,absent,0,7.014
Aberdeen,10,31,hard,1,2.271
Aberdeen,10,32,absent,0,3.809
Aberdeen,10,33,absent,0,6.244
Aberdeen,10,34,absent,0,7.885
Aberdeen,10,35,easy,1,5.506
Aberdeen,10,36,hard,1,8.745
Aberdeen,10,37,easy,0,8.612
Aberdeen,10,38,hard,0,12.469
Aberdeen,10,39,absent,1,14.173
Aberdeen,10,40,hard,0,18.349
Aberdeen,10,41,absent,1,17.918
Aberdeen,10,42,absent,1,14.991
Aberdeen,10,43,absent,1,15.16
Aberdeen,10,44,absent,1,13.365
Aberdeen,10,45,hard,0,19.471
Aberdeen,10,46,hard,0,28.052
Aberdeen,10,47,absent,0,7.862
Aberdeen,10,48,absent,0,2.977
Aberdeen,10,49,easy,1,12.964
Aberdeen,10,50,absent,1,23.143
Aberdeen,10,51,easy,1,2.384
Aberdeen,10,52,absent,1,18.894
Aberdeen,10,53,easy,1,2.179
Aberdeen,10,54,easy,1,1.595
Aberdeen,10,55,easy,1,3.292
Aberdeen,10,56,absent,1,13.855
Aberdeen,10,57,absent,1,14.772
Aberdeen,10,58,hard,0,12.849
Aberdeen,10,59,absent,1,17.139
Aberdeen,10,60,absent,1,16.749
Aberdeen,10,61,absent,1,19.603
Aberdeen,10,62,absent,1,17.027
Aberdeen,10,63,hard,1,22.631
Aberdeen,10,64,absent,1,25.976
Aberdeen,10,65,easy,1,3.433
Aberdeen,10,66,hard,1,10.258
Aberdeen,10,67,hard,1,5.151
Aberdeen,10,68,absent,0,4.9
Aberdeen,10,69,absent,0,4.471
Aberdeen,10,70,absent,1,21.297
Aberdeen,10,71,absent,0,18.237
Aberdeen,10,72,absent,0,2.912
Aberdeen,10,73,easy,1,4.251
Aberdeen,10,74,hard,1,7.682
Aberdeen,10,75,easy,1,1.662
Aberdeen,10,76,easy,1,2.283
Aberdeen,10,77,hard,0,10.753
Aberdeen,10,78,easy,1,9.396
Aberdeen,10,79,easy,1,1.207
Aberdeen,10,80,easy,0,12.35
Aberdeen,10,81,absent,0,1.87
Aberdeen,10,82,easy,1,1.223
Aberdeen,10,83,easy,1,1.254
Aberdeen,10,84,absent,1,9.668
Aberdeen,10,85,hard,0,9.037
Aberdeen,10,86,absent,0,2.668
Aberdeen,10,87,hard,1,2.619
Aberdeen,10,88,absent,1,8.315
Aberdeen,10,89,hard,0,4.355
Aberdeen,10,90,hard,1,8.845
Aberdeen,10,91,absent,1,10.449
Aberdeen,10,92,absent,1,11.519
Aberdeen,10,93,easy,1,1.491
Aberdeen,10,95,absent,1,14.537
Aberdeen,10,96,absent,1,10.488
Aberdeen,10,97,absent,1,13.25
Aberdeen,10,98,absent,1,10.479
Aberdeen,10,99,easy,1,1.653
Aberdeen,10,100,hard,1,3.033
Aberdeen,10,102,absent,1,14.414
Aberdeen,11,7,hard,0,1.696
Aberdeen,11,8,hard,1,1.561
Aberdeen,11,9,easy,1,1.022
Aberdeen,11,10,easy,1,0.876
Aberdeen,11,11,easy,1,0.866
Aberdeen,11,12,easy,1,0.854
Aberdeen,11,13,hard,0,2.668
Aberdeen,11,14,absent,1,5.416
Aberdeen,11,15,absent,1,4.398
Aberdeen,11,16,absent,1,2.924
Aberdeen,11,17,absent,1,2.849
Aberdeen,11,18,easy,1,1.021
Aberdeen,11,19,absent,1,3.532
Aberdeen,11,20,absent,1,2.55
Aberdeen,11,21,hard,0,4.481
Aberdeen,11,22,absent,0,2.356
Aberdeen,11,23,absent,1,4.421
Aberdeen,11,24,hard,0,2.849
Aberdeen,11,25,hard,0,6.649
Aberdeen,11,26,absent,1,6.359
Aberdeen,11,27,absent,1,6.354
Aberdeen,11,28,absent,1,4.873
Aberdeen,11,29,easy,1,0.805
