person,trial,choice,site
103,2,sensible,Aberdeen
103,3,sensible,Aberdeen
103,4,sensible,Aberdeen
103,5,sensible,Aberdeen
103,6,sensible,Aberdeen
104,1,sensible,Aberdeen
104,2,sensible,Aberdeen
104,3,sensible,Aberdeen
104,4,sensible,Aberdeen
104,5,sensible,Aberdeen
104,6,sensible,Aberdeen
105,1,pre_crastinate,Aberdeen
105,2,sensible,Aberdeen
105,3,sensible,Aberdeen
105,4,sensible,Aberdeen
105,5,sensible,Aberdeen
105,6,sensible,Aberdeen
106,1,pre_crastinate,Aberdeen
106,2,pre_crastinate,Aberdeen
106,3,pre_crastinate,Aberdeen
106,4,pre_crastinate,Aberdeen
106,5,pre_crastinate,Aberdeen
106,6,pre_crastinate,Aberdeen
107,1,pre_crastinate,Aberdeen
107,2,pre_crastinate,Aberdeen
107,3,pre_crastinate,Aberdeen
107,4,pre_crastinate,Aberdeen
107,5,pre_crastinate,Aberdeen
107,6,pre_crastinate,Aberdeen
108,1,pre_crastinate,Aberdeen
108,2,pre_crastinate,Aberdeen
108,3,pre_crastinate,Aberdeen
108,4,pre_crastinate,Aberdeen
108,5,pre_crastinate,Aberdeen
108,6,pre_crastinate,Aberdeen
109,1,pre_crastinate,Aberdeen
109,2,pre_crastinate,Aberdeen
109,3,pre_crastinate,Aberdeen
109,4,pre_crastinate,Aberdeen
109,5,pre_crastinate,Aberdeen
109,6,pre_crastinate,Aberdeen
110,1,pre_crastinate,Aberdeen
110,2,sensible,Aberdeen
110,3,sensible,Aberdeen
110,4,sensible,Aberdeen
110,5,sensible,Aberdeen
110,6,sensible,Aberdeen
111,1,sensible,Aberdeen
111,2,sensible,Aberdeen
111,3,sensible,Aberdeen
111,4,sensible,Aberdeen
111,5,sensible,Aberdeen
111,6,pre_crastinate,Aberdeen
112,1,sensible,Aberdeen
112,2,sensible,Aberdeen
112,3,sensible,Aberdeen
112,4,sensible,Aberdeen
112,5,sensible,Aberdeen
112,6,sensible,Aberdeen
113,1,pre_crastinate,Aberdeen
113,2,pre_crastinate,Aberdeen
113,3,pre_crastinate,Aberdeen
113,4,sensible,Aberdeen
113,5,pre_crastinate,Aberdeen
113,6,pre_crastinate,Aberdeen
114,1,sensible,Aberdeen
114,2,sensible,Aberdeen
114,3,pre_crastinate,Aberdeen
114,4,sensible,Aberdeen
114,5,pre_crastinate,Aberdeen
114,6,pre_crastinate,Aberdeen
115,1,pre_crastinate,Aberdeen
115,2,pre_crastinate,Aberdeen
115,3,pre_crastinate,Aberdeen
115,4,pre_crastinate,Aberdeen
115,5,pre_crastinate,Aberdeen
115,6,pre_crastinate,Aberdeen
116,1,sensible,Aberdeen
116,2,sensible,Aberdeen
116,3,sensible,Aberdeen
116,4,sensible,Aberdeen
116,5,sensible,Aberdeen
116,6,sensible,Aberdeen
117,1,pre_crastinate,Aberdeen
117,2,pre_crastinate,Aberdeen
117,3,pre_crastinate,Aberdeen
117,4,pre_crastinate,Aberdeen
117,5,pre_crastinate,Aberdeen
117,6,pre_crastinate,Aberdeen
118,1,pre_crastinate,Aberdeen
118,2,pre_crastinate,Aberdeen
118,3,pre_crastinate,Aberdeen
118,4,pre_crastinate,Aberdeen
118,5,pre_crastinate,Aberdeen
118,6,pre_crastinate,Aberdeen
119,1,pre_crastinate,Aberdeen
119,2,pre_crastinate,Aberdeen
119,3,pre_crastinate,Aberdeen
