"condition","subject","trialNum","targSide","RT","accuracy"
"542","linesB","11",78,"hard",24.401,0
"543","linesB","11",79,"absent",47.585,1
"544","linesB","11",80,"absent",37.958,1
"545","linesB","11",81,"absent",42.271,1
"546","linesB","11",82,"absent",35.483,1
"547","linesB","11",83,"easy",1.079,1
"548","linesB","11",84,"easy",0.78,1
"549","linesB","11",85,"absent",28.283,1
"550","linesB","11",86,"easy",0.76,1
"551","linesB","11",87,"absent",24.83,1
"552","linesB","11",88,"hard",3.555,1
"553","linesB","11",89,"easy",1.105,1
"554","linesB","11",90,"easy",0.678,1
"555","linesB","11",91,"absent",30.419,1
"556","linesB","11",92,"easy",0.755,1
"557","linesB","11",93,"absent",37.404,1
"558","linesB","11",94,"hard",29.813,0
"559","linesB","11",95,"hard",43.231,0
"560","linesB","11",96,"absent",51.01,1
"561","linesB","11",97,"absent",56.816,1
"562","linesB","11",98,"absent",49.172,1
"563","linesB","11",99,"absent",43.493,1
"564","linesB","11",100,"hard",46.26,0
"565","linesB","11",101,"absent",35.126,1
"566","linesB","11",102,"hard",58.095,0
"567","linesB","11",103,"absent",57.259,1
"568","linesB","11",104,"hard",29.636,1
"569","linesB","11",105,"easy",1.113,1
"570","linesB","11",106,"absent",60.971,1
"571","linesB","11",107,"easy",0.842,1
"572","linesB","11",108,"hard",9.34,1
"573","linesB","11",109,"absent",76.912,1
"574","linesB","11",110,"absent",33.602,1
"575","linesB","11",111,"easy",1.162,1
"576","linesB","11",112,"absent",80.007,1
"577","linesB","12",17,"easy",27.538,1
"578","linesB","12",18,"hard",10.26,0
"579","linesB","12",19,"easy",1.095,1
"580","linesB","12",20,"hard",14.109,0
"581","linesB","12",21,"easy",1.08,1
"582","linesB","12",22,"absent",31.45,1
"583","linesB","12",23,"absent",24.213,1
"584","linesB","12",24,"easy",1.964,1
"585","linesB","12",25,"hard",28.795,0
"586","linesB","12",26,"absent",32.483,1
"587","linesB","12",27,"absent",36.042,1
"588","linesB","12",28,"absent",57.215,1
"589","linesB","12",29,"absent",35.378,1
"590","linesB","12",30,"absent",40.371,1
"591","linesB","12",31,"easy",4.08,1
"592","linesB","12",32,"absent",24.016,1
"593","linesB","12",33,"hard",17.926,1
"594","linesB","12",34,"easy",1.052,1
"595","linesB","12",35,"absent",25.739,1
"596","linesB","12",36,"absent",31.412,1
"597","linesB","12",37,"absent",25.846,1
"598","linesB","12",38,"absent",31.89,1
"599","linesB","12",39,"hard",6.529,1
"600","linesB","12",40,"hard",12.69,0
"601","linesB","12",41,"absent",28.043,1
"602","linesB","12",42,"absent",26.082,1
"603","linesB","12",43,"absent",30.42,1
"604","linesB","12",44,"absent",27.695,1
"605","linesB","12",45,"easy",1.672,1
"606","linesB","12",46,"easy",1.043,1
"607","linesB","12",47,"hard",28.579,1
"608","linesB","12",48,"absent",25.369,1
"609","linesB","12",49,"easy",0.812,1
"610","linesB","12",50,"absent",24.463,1
"611","linesB","12",51,"absent",34.658,1
"612","linesB","12",52,"easy",0.84,1
"613","linesB","12",53,"absent",33.727,1
"614","linesB","12",54,"hard",16.314,1
"615","linesB","12",55,"absent",27.085,1
"616","linesB","12",56,"absent",27.848,1
"617","linesB","12",57,"hard",22.648,1
"618","linesB","12",58,"easy",1.379,1
"619","linesB","12",59,"hard",37.371,1
"620","linesB","12",60,"hard",26.573,1
"621","linesB","12",61,"absent",28.802,1
"622","linesB","12",62,"easy",0.901,1
"623","linesB","12",63,"hard",50.653,0
"624","linesB","12",64,"absent",44.8,1
"625","linesB","12",65,"absent",38.567,1
"626","linesB","12",66,"easy",0.778,1
"627","linesB","12",67,"absent",28.299,1
"628","linesB","12",68,"hard",35.228,1
"629","linesB","12",69,"absent",36.884,1
"630","linesB","12",70,"hard",5.74,1
"631","linesB","12",71,"hard",14.986,1
"632","linesB","12",72,"absent",22.835,1
"633","linesB","12",73,"easy",0.955,1
"634","linesB","12",74,"hard",16.519,1
"635","linesB","12",75,"absent",43.722,1
"636","linesB","12",76,"easy",0.855,1
"637","linesB","12",77,"absent",29.629,1
"638","linesB","12",78,"hard",14.943,1
"639","linesB","12",79,"absent",29.56,1
"640","linesB","12",80,"absent",35.158,1
"641","linesB","12",81,"absent",32.02,1
"642","linesB","12",82,"absent",31.377,1
"643","linesB","12",83,"easy",0.818,1
"644","linesB","12",84,"easy",0.961,1
"645","linesB","12",85,"absent",18.967,1
"646","linesB","12",86,"easy",1.316,1
"647","linesB","12",87,"absent",21.041,1
"648","linesB","12",88,"hard",18.633,1
"649","linesB","12",89,"easy",0.659,1
"650","linesB","12",90,"easy",0.776,1
"651","linesB","12",91,"absent",20.194,1
"652","linesB","12",92,"easy",0.983,1
"653","linesB","12",93,"absent",26.24,1
"654","linesB","12",94,"hard",28.89,1
"655","linesB","12",95,"hard",6.242,1
"656","linesB","12",96,"absent",23.52,1
"657","linesB","12",97,"absent",18.531,1
"658","linesB","12",98,"absent",22.667,1
"659","linesB","12",99,"absent",23.37,1
"660","linesB","12",100,"hard",27.41,1
"661","linesB","12",101,"absent",23.013,1
"662","linesB","12",102,"hard",19.602,1
"663","linesB","12",103,"absent",20.973,1
