person,prop_hard,site,targ_side_rel,median_rt,accuracy
505,0.5742011278195489,Aberdeen,absent,4.8395,0.8541666666666666
505,0.5742011278195489,Aberdeen,easy,1.183,1
505,0.5742011278195489,Aberdeen,hard,4.2235,0.3333333333333333
507,0.5575396825396826,Aberdeen,absent,11.6555,0.9791666666666666
507,0.5575396825396826,Aberdeen,easy,1.041,1
507,0.5575396825396826,Aberdeen,hard,9.113,0.25
508,0.5364921026222784,Aberdeen,absent,4.206,0.9574468085106383
508,0.5364921026222784,Aberdeen,easy,0.775,1
508,0.5364921026222784,Aberdeen,hard,4.282500000000001,0.041666666666666664
509,0.25006435006435007,Aberdeen,absent,13.845,0.7872340425531915
509,0.25006435006435007,Aberdeen,easy,1.256,0.9583333333333334
509,0.25006435006435007,Aberdeen,hard,12.742,0.4782608695652174
510,0.4433565506603683,Aberdeen,absent,3.711,1
510,0.4433565506603683,Aberdeen,easy,0.997,0.9565217391304348
510,0.4433565506603683,Aberdeen,hard,4.597,0.17391304347826086
512,0.8005201958384333,Aberdeen,absent,17.522,0.9791666666666666
512,0.8005201958384333,Aberdeen,easy,0.923,1
512,0.8005201958384333,Aberdeen,hard,8.565999999999999,0.75
514,0.3704352699673176,Aberdeen,absent,8.527000000000001,0.8958333333333334
514,0.3704352699673176,Aberdeen,easy,1.1495,1
514,0.3704352699673176,Aberdeen,hard,6.8725000000000005,0.4166666666666667
515,0.856547619047619,Aberdeen,absent,9.231,0.8333333333333334
515,0.856547619047619,Aberdeen,easy,1.2565,0.9583333333333334
515,0.856547619047619,Aberdeen,hard,7.255,0.4583333333333333
601,0.3501623376623377,Aberdeen,absent,9.504000000000001,0.8958333333333334
601,0.3501623376623377,Aberdeen,easy,1.2475,0.9166666666666666
601,0.3501623376623377,Aberdeen,hard,8.925,0.25
603,0.5855090736669684,Aberdeen,absent,10.284500000000001,0.8333333333333334
603,0.5855090736669684,Aberdeen,easy,1.419,1
603,0.5855090736669684,Aberdeen,hard,4.9785,0.75
606,0.4758433245275351,Aberdeen,absent,9.7475,0.8333333333333334
606,0.4758433245275351,Aberdeen,easy,1.49,1
606,0.4758433245275351,Aberdeen,hard,6.3965,0.5833333333333334
607,0.6050369769119769,Aberdeen,absent,10.5725,1
607,0.6050369769119769,Aberdeen,easy,1.0034999999999998,1
607,0.6050369769119769,Aberdeen,hard,9.316,0.30434782608695654
608,0.9683441558441559,Aberdeen,absent,4.2330000000000005,0.7916666666666666
608,0.9683441558441559,Aberdeen,easy,0.9255,1
608,0.9683441558441559,Aberdeen,hard,2.624,0.75
609,0.17792370231394622,Aberdeen,absent,5.103,0.8936170212765957
609,0.17792370231394622,Aberdeen,easy,1.205,0.9583333333333334
609,0.17792370231394622,Aberdeen,hard,4.68,0.125
610,0.6250716625716626,Aberdeen,absent,6.423,0.8723404255319149
610,0.6250716625716626,Aberdeen,easy,0.7025,1
610,0.6250716625716626,Aberdeen,hard,5.236000000000001,0.4166666666666667
613,0.3574043673129039,Aberdeen,absent,7.9695,0.8958333333333334
613,0.3574043673129039,Aberdeen,easy,1.212,0.9545454545454546
613,0.3574043673129039,Aberdeen,hard,8.263,0.4166666666666667
614,0.35767118863049097,Aberdeen,absent,10.370000000000001,0.9791666666666666
614,0.35767118863049097,Aberdeen,easy,1.1515,1
614,0.35767118863049097,Aberdeen,hard,7.286,0.5833333333333334
615,0.37534515034515037,Aberdeen,absent,4.618,0.7916666666666666
615,0.37534515034515037,Aberdeen,easy,1.082,1
615,0.37534515034515037,Aberdeen,hard,3.9574999999999996,0.3333333333333333
617,0.825272869022869,Aberdeen,absent,31.195,0.9787234042553191
617,0.825272869022869,Aberdeen,easy,1.169,1
617,0.825272869022869,Aberdeen,hard,11.215499999999999,0.7916666666666666
619,0.8296791984291985,Aberdeen,absent,4.871,0.9166666666666666
619,0.8296791984291985,Aberdeen,easy,1.1320000000000001,1
619,0.8296791984291985,Aberdeen,hard,4.4254999999999995,0.375
622,0.6736054382074921,Aberdeen,absent,3.7800000000000002,0.9375
622,0.6736054382074921,Aberdeen,easy,0.9684999999999999,1
622,0.6736054382074921,Aberdeen,hard,4.016,0.20833333333333334
623,0.5433629007158419,Aberdeen,absent,6.089,0.7708333333333334
